ogc_fid,objectid,effective,year_effec,status,ulurpno,lucats,project_na,shape_leng,shape_area,ULURP_num,Name,Borough,Zoning Map,layer,path
19,37,2007/03/14 00:00:00.000,"2007",Adopted,070079zmq,"070079",JAMAICA COURTHOUSE REDEV,1074.816402137225168,71446.804063839677838,"070079",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
20,38,2007/09/25 00:00:00.000,"2007",Adopted,050317zmk,"050317",SAHARA RESTAURANT,2247.325428832922171,241825.902566748030949,"050317",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
21,39,2007/03/28 00:00:00.000,"2007",Adopted,050414zmm,"050414",W145TH ST REZONING,1063.514586978413035,64100.001726195609081,"050414",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
22,40,2009/02/11 00:00:00.000,"2009",Adopted,070137zmm,"070137",PHIPPS PLAZA SO,1686.793702769958372,122346.788649441208690,"070137",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
23,41,2007/10/29 00:00:00.000,"2007",Adopted,080002zmx,"080002",MELROSE COMMONS RFP SITE B-1,630.455916628622617,24190.885183170423261,"080002",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
24,47,2005/11/16 00:00:00.000,"2005",Adopted,050180zmr,"050180",OAKWOOD REZONING,10589.171373000463063,3197370.531290612183511,"050180",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
25,55,2002/01/30 00:00:00.000,"2002",Adopted,010705zmx,"010705","3677, 3683 EAST TREMONT AVE",2190.345214477078571,128527.335283014923334,"010705",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
26,56,2002/01/30 00:00:00.000,"2002",Adopted,010185zmq,"010185",EAGLE ELECTRIC BLDG,1425.919826677363972,122600.164446932933060,"010185",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
27,82,2004/09/28 00:00:00.000,"2004",Adopted,040516zmx,"040516",VAN COURTLANDT VILLAGE,11793.553329322965510,2868791.252106009982526,"040516",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
28,83,2003/08/19 00:00:00.000,"2003",Adopted,030325zmx,"030325",FORDHAM UNIVERSITY PKG GARAGE,2581.627429625911645,401848.691742696741130,"030325",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
29,84,2003/08/19 00:00:00.000,"2003",Adopted,030333zmx,"030333",MORRISANIA AREA REZONING,8160.338165241942079,1920808.589733234141022,"030333",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
30,85,2004/03/10 00:00:00.000,"2004",Adopted,030066zmx,"030066",WESTCHESTER AVENUE REZONING,435.609071020723150,12262.317730152462900,"030066",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
31,86,2004/05/05 00:00:00.000,"2004",Adopted,020654zmx,"020654",IHOP,868.425041790359842,43104.787865019447054,"020654",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
32,87,2004/03/10 00:00:00.000,"2004",Adopted,030214zmm,"030214",2-10 WEST END AVE,1605.602213882146771,157621.001362486742437,"030214",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
33,88,2004/11/10 00:00:00.000,"2004",Adopted,040249zmm,"040249",VERIZON W43RD ST REZONING,1361.098457340822961,96257.398690904185059,"040249",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
34,89,2004/11/10 00:00:00.000,"2004",Adopted,040250zmm,"040250",VERIZON W47TH-W48TH STS REZONING,2015.262434956577636,214693.254362759966170,"040250",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
35,90,2005/04/12 00:00:00.000,"2005",Adopted,050149zmq,"050149",BAYSIDE REZONING,76832.159278988197912,57950101.150753736495972,"050149",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
36,91,2005/01/19 00:00:00.000,"2005",Adopted,020573zmk,"020573",LUTHERAN MEDICAL CENTER,2395.490128757675848,281652.146413920621853,"020573",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
37,110,2005/01/19 00:00:00.000,"2005",Adopted,040499azmm,040499a,HUDSON YARDS,13737.356462583738903,8245904.806697276420891,"040499",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
38,111,2004/11/10 00:00:00.000,"2004",Adopted,040443zmm,"040443",HARLEM PARK/MARRIOTT COURTYARD,1790.783563716732488,160556.105429309303872,"040443",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
39,127,2004/07/21 00:00:00.000,"2004",Adopted,040115zmq,"040115",ROYAL RANCH REZONING,2602.931160208068832,224499.785418965097051,"040115",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
40,128,2004/07/21 00:00:00.000,"2004",Adopted,040344zmq,"040344",BELLROSE REZONING,10677.882783591667248,4620226.288217856548727,"040344",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
41,129,2003/08/19 00:00:00.000,"2003",Adopted,030237zmm,"030237",HUDSON SQUARE REZONING,2877.190282173405649,437349.859251487825532,"030237",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
42,130,2005/06/08 00:00:00.000,"2005",Adopted,040509zmk,"040509",FULTON ST REZONING,1190.587803702380825,70976.001866766935564,"040509",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
43,131,2005/06/08 00:00:00.000,"2005",Adopted,040389zmk,"040389",LOGAN STREET REZONING,1221.007213787568617,89988.720423243794357,"040389",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
44,132,2007/08/22 00:00:00.000,"2007",Adopted,070065zmq,"070065",PLAZA 75,1123.257406950141103,59382.262468746215745,"070065",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
45,133,2007/09/25 00:00:00.000,"2007",Adopted,030093zmk,"030093",12TH AVE REZONING,903.283721559542414,49788.861761400599789,"030093",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
46,134,2007/08/22 00:00:00.000,"2007",Adopted,060272zmk,"060272",COMMERCE BANK-65TH ST,700.411119549147998,29996.623587639060133,"060272",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
47,135,2008/10/07 00:00:00.000,"2008",Adopted,080429zmq,"080429",DUTCH KILLS,11479.439476646646654,5051476.507516438141465,"080429",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
48,136,2010/10/13 00:00:00.000,"2010",Adopted,100369zmm,"100369",NORTH TRIBECA REZONING,11145.148726489231194,4074526.509560795500875,"100369",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
49,137,2007/02/01 00:00:00.000,"2007",Adopted,030153zmr,"030153",GRANDVIEW PLAZA,1921.201304744834488,191315.756398011406418,"030153",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
50,138,2007/02/28 00:00:00.000,"2007",Adopted,060104zmm,"060104",W60TH ST PROJECT,1330.994248275631662,105483.652885732342838,"060104",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
51,139,2006/02/01 00:00:00.000,"2006",Adopted,050529zmx,"050529",BX TERMINAL MARKET GATEWAY CENTER,6966.383347789227628,1850656.019315205048770,"050529",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
52,140,2006/07/19 00:00:00.000,"2006",Adopted,060335zmx,"060335",PELHAM PKWY/INDIAN VILLAGE REZONING,18761.710512181114609,9559305.513335736468434,"060335",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
53,142,2006/11/15 00:00:00.000,"2006",Adopted,020127zmq,"020127",45TH AVENUE/ELMHURST REZONING,1211.106390522841139,89746.134766586517799,"020127",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
54,143,2007/06/15 00:00:00.000,"2007",Adopted,070235zmm,"070235",E HARLEM SALT STORAGE FACILITY,1999.784786229003885,229765.386785660841269,"070235",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
55,148,2002/07/24 00:00:00.000,"2002",Adopted,020463zmm,"020463",CLINTON URA,1202.941467550131165,88774.131746565166395,"020463",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
56,149,2002/02/27 00:00:00.000,"2002",Adopted,010651zmm,"010651",1441 BROADWAY REZONING,1040.008485611904007,62523.292879167420324,"010651",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
57,150,2002/10/09 00:00:00.000,"2002",Adopted,010668zmq,"010668",HARVARD LANGUAGE CENTER,676.704141634858956,24130.289284583825065,"010668",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
58,151,2002/03/13 00:00:00.000,"2002",Adopted,000188zmq,"000188",129TH ST REZONING,1221.571573104739173,75567.172074476329726,"000188",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
59,152,2003/04/30 00:00:00.000,"2003",Adopted,020213zmm,"020213",SEAPORT REZONING,3821.748456757870372,843586.846164168789983,"020213",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
60,153,2002/10/23 00:00:00.000,"2002",Adopted,020498zmm,"020498",COOPER UNION GLSD,1798.672299161145929,181477.665062273474177,"020498",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
61,156,2003/12/03 00:00:00.000,"2003",Adopted,020538zmr,"020538",SIBP REZONING/NORTHWEST NORTH SHORE,68296.476057491076062,33405981.965162601321936,"020538",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
62,177,2002/06/05 00:00:00.000,"2002",Adopted,880816zmx,"880816",CASTLE HILL ESTATES,5064.077233647566572,1627726.318323996849358,"880816",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
63,199,2002/02/27 00:00:00.000,"2002",Adopted,010471zmx,"010471",KINGS HARBOR MULTICARE CENTER,2224.643073589112646,235985.807411661255173,"010471",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
64,200,2003/01/29 00:00:00.000,"2003",Adopted,020216zmm,"020216",GATEWAY II,1073.111273782235230,70268.605295883826329,"020216",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
65,207,2004/09/28 00:00:00.000,"2004",Adopted,010384zmk,"010384",226 FRANKLIN & 98 FREEMAN STS,1697.651049616439650,178907.656781182216946,"010384",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
66,208,2004/07/21 00:00:00.000,"2004",Adopted,040021zmm,"040021",LAFAYETTE ST REZONING,1841.019638111185714,120550.257059226292768,"040021",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
67,209,2004/05/05 00:00:00.000,"2004",Adopted,030289zmk,"030289",GOLD ST REZONING,730.902966132938673,32694.741476489336492,"030289",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
68,210,2004/12/15 00:00:00.000,"2004",Adopted,040215zmk,"040215",WATCHTOWER PROJECT,2384.048689962879052,292071.963943992741406,"040215",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
69,211,2005/09/28 00:00:00.000,"2005",Adopted,050171zmq,"050171",FRANCIS LEWIS BLVD REZONING,730.950963043737602,33110.766923925213632,"050171",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
70,212,2005/09/28 00:00:00.000,"2005",Adopted,040326zmx,"040326",EAST TREMONT/HONEYWELL AVE REZONING,769.703788853320361,28775.526274452487996,"040326",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
71,213,2005/09/28 00:00:00.000,"2005",Adopted,040488zmm,"040488",1129-33 YORK AVE,947.182766301149741,55505.845036210317630,"040488",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
72,214,2005/09/28 00:00:00.000,"2005",Adopted,050482zmq,"050482",COLLEGE POINT REZONING,46437.691766942603863,19095677.684102658182383,"050482",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
73,215,2006/04/26 00:00:00.000,"2006",Adopted,060210zmm,"060210",MADISON PARK WEST,1970.118041594046645,201281.333555341261672,"060210",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
74,216,2005/07/27 00:00:00.000,"2005",Adopted,010703zmx,"010703",1701 PURDY ST,1339.437791254514877,79580.549622317164904,"010703",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
75,217,2005/06/23 00:00:00.000,"2005",Adopted,050162azmm,050162a,WEST CHELSEA/HIGH LINE,9538.506295185346971,3039833.357984007336199,"050162",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
76,218,2005/05/11 00:00:00.000,"2005",Adopted,050111azmk,050111a,GREENPOINT-WILLIAMSBURG,54182.688822939977399,25804290.247405264526606,"050111",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
77,219,2005/07/27 00:00:00.000,"2005",Adopted,050277zmq,"050277",E. FLUSHING REZONING,27086.673483480113646,12774224.000714354217052,"050277",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
78,220,2005/06/08 00:00:00.000,"2005",Adopted,040043zmq,"040043",FLUSHING SAVINGS BANK,751.150801121028053,33328.998634834271797,"040043",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
79,221,2005/05/11 00:00:00.000,"2005",Adopted,050195zmq,"050195",KISSENA PARK REZONING,15265.305770001317796,5803320.111684150993824,"050195",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
80,222,2002/03/25 00:00:00.000,"2002",Adopted,000539zmk,"000539",HARBOR TECH-5 DELEVAN,1749.282802243172455,167104.144912968098652,"000539",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
81,223,2002/07/24 00:00:00.000,"2002",Adopted,020097zmk,"020097",BKLYN LAW SCHOOL,2817.927554504653472,361202.705428477027453,"020097",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
82,224,2003/02/26 00:00:00.000,"2003",Adopted,020071zmq,"020071",MAGNOLIA PLAZA,992.610570224431513,55496.422181553731207,"020071",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
83,225,2002/02/27 00:00:00.000,"2002",Adopted,010116zmq,"010116",WAYNE DECORATORS,1620.843691653983797,114082.344126275464077,"010116",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
84,226,2003/03/12 00:00:00.000,"2003",Adopted,020188zmr,"020188",NICHOLAS AVE REZONING,4692.265129294774852,735228.560040267650038,"020188",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
85,227,2002/06/26 00:00:00.000,"2002",Adopted,000374zmr,"000374",TARGEE PLAZA,838.720980397490166,40796.406595103027939,"000374",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
86,228,2002/09/12 00:00:00.000,"2002",Adopted,000372zmr,"000372",AKR RETAIL,1214.695328805813688,77941.731175073073246,"000372",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
87,229,2005/03/09 00:00:00.000,"2005",Adopted,050153zmq,"050153",KEW GARDENS-RICHMOND HILL,44543.319931553829520,20944916.135085843503475,"050153",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
88,230,2004/10/13 00:00:00.000,"2004",Adopted,040492zmq,"040492",JAMAICA HILL REZONING,12562.953252830713609,4540782.824789766222239,"040492",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
89,231,2004/10/13 00:00:00.000,"2004",Adopted,030413zmk,"030413",IKEA,6873.219936285078802,2459354.581916499882936,"030413",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
